Train Loss: tensor(3.0942, device='cuda:0')
Train Loss: tensor(3.7757, device='cuda:0')
Train Loss: tensor(3.6533, device='cuda:0')
Train Loss: tensor(3.2839, device='cuda:0')
Train Loss: tensor(4.2324, device='cuda:0')
Train Loss: tensor(3.9843, device='cuda:0')
Train Loss: tensor(3.1978, device='cuda:0')
Train Loss: tensor(2.7114, device='cuda:0')
Train Loss: tensor(3.0135, device='cuda:0')
Train Loss: tensor(2.5005, device='cuda:0')
train Loss: 3.6018 Prec: 0.5659EPOCH complete in 29m 22sval Loss: 6.9591 Prec: 0.3050EPOCH complete in 30m 16sEpoch 7/19----------Train Loss: tensor(2.5370, device='cuda:0')
Train Loss: tensor(2.9863, device='cuda:0')
Train Loss: tensor(3.9791, device='cuda:0')
Train Loss: tensor(3.0093, device='cuda:0')
Train Loss: tensor(3.1560, device='cuda:0')
Train Loss: tensor(3.5078, device='cuda:0')
Train Loss: tensor(3.5137, device='cuda:0')
Train Loss: tensor(3.5930, device='cuda:0')
Train Loss: tensor(3.4362, device='cuda:0')
Train Loss: tensor(3.4423, device='cuda:0')
Train Loss: tensor(3.4642, device='cuda:0')
Train Loss: tensor(4.1076, device='cuda:0')
Train Loss: tensor(3.8950, device='cuda:0')
Train Loss: tensor(3.7215, device='cuda:0')
Train Loss: tensor(3.4505, device='cuda:0')
Train Loss: tensor(3.9110, device='cuda:0')
Train Loss: tensor(3.7546, device='cuda:0')
Train Loss: tensor(3.4673, device='cuda:0')
Train Loss: tensor(3.6001, device='cuda:0')
Train Loss: tensor(3.5992, device='cuda:0')
Train Loss: tensor(3.9165, device='cuda:0')
Train Loss: tensor(3.3237, device='cuda:0')
Train Loss: tensor(3.7457, device='cuda:0')
Train Loss: tensor(3.2343, device='cuda:0')
Train Loss: tensor(3.5235, device='cuda:0')
Train Loss: tensor(3.6650, device='cuda:0')
Train Loss: tensor(3.5729, device='cuda:0')
Train Loss: tensor(3.2627, device='cuda:0')
Train Loss: tensor(3.4913, device='cuda:0')
Train Loss: tensor(3.2426, device='cuda:0')
Train Loss: tensor(3.2592, device='cuda:0')
Train Loss: tensor(3.5461, device='cuda:0')
Train Loss: tensor(2.8874, device='cuda:0')
Train Loss: tensor(3.3642, device='cuda:0')
Train Loss: tensor(3.7007, device='cuda:0')
Train Loss: tensor(4.3960, device='cuda:0')
Train Loss: tensor(4.0270, device='cuda:0')
Train Loss: tensor(3.4136, device='cuda:0')
Train Loss: tensor(4.0124, device='cuda:0')
